A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,Class
1,39,13,2,9,4,8,1,1,6,1,2,70,1,True
0,47,8,2,8,4,7,1,1,6,1,2,0,1261,True
0,47,3,2,14,4,13,1,1,2,1,2,519,1705,True
1,23,0,2,13,4,0,1,0,0,0,2,0,1,True
1,22,1,1,6,4,0,0,0,0,1,2,120,68,False
1,26,1,2,14,8,1,1,0,0,0,2,0,5299,True
1,63,0,2,8,4,0,1,1,3,1,2,180,1,False
1,23,0,1,8,4,0,0,1,2,0,2,128,7,False
0,20,10,2,11,4,0,1,1,2,1,2,49,1,True
0,24,1,1,8,4,0,0,0,0,0,2,132,1,False
1,16,0,2,8,4,0,0,0,0,0,2,0,1,True
0,29,2,1,10,8,2,0,0,0,0,2,256,18,False
0,52,15,2,8,4,5,1,1,14,0,2,0,2201,True
1,32,3,2,4,4,0,0,0,0,1,2,232,1,False
1,21,4,1,3,8,0,0,0,0,0,2,140,101,False
1,28,0,1,4,4,0,0,0,0,0,2,216,2101,False
1,19,1,1,8,4,2,0,0,0,1,2,112,7,False
1,27,3,1,11,8,5,0,1,2,1,2,369,2,False
1,27,1,2,9,4,2,1,1,11,1,2,434,36,True
1,40,6,2,6,5,3,1,1,1,0,2,0,501,True
0,37,2,2,3,8,0,0,0,0,0,2,260,247,False
1,42,4,1,9,4,3,1,0,0,1,2,52,1443,True
1,56,12,2,7,4,1,1,1,4,1,2,200,1,True
1,43,5,2,3,5,2,0,0,0,1,2,141,1,False
0,23,0,2,9,4,0,0,1,1,1,2,240,5,False
1,18,2,2,3,4,1,1,1,2,0,2,120,301,True
0,40,3,2,3,5,0,0,0,0,0,1,1160,1,False
0,24,0,2,11,8,1,1,0,0,0,2,280,825,True
1,42,9,2,14,8,7,1,1,8,0,2,0,1,True
0,19,0,2,11,4,0,0,0,0,1,2,380,1,False
1,21,11,2,3,4,0,1,0,0,1,2,100,69,False
1,31,2,2,1,1,0,0,1,5,0,2,176,147,False
1,27,1,2,13,8,1,1,1,12,1,2,583,714,True
1,48,26,1,1,1,0,1,0,0,1,2,0,1,False
0,30,1,2,9,8,0,0,1,3,0,2,0,34,False
1,29,1,2,9,4,1,0,0,0,0,2,200,1,False
1,28,5,1,8,5,1,1,1,8,1,2,144,8,True
1,40,21,2,10,9,20,1,1,11,0,2,0,1201,True
1,36,4,2,11,4,3,0,0,0,0,2,454,51,False
1,25,0,2,4,8,3,0,0,0,1,2,340,1,False
1,29,3,2,8,4,0,0,0,0,0,2,216,1,False
1,23,0,2,4,4,1,0,1,11,0,1,0,1,False
0,32,1,2,9,4,1,1,1,16,0,2,120,2080,True
1,25,3,2,13,4,0,1,1,7,0,2,0,7060,True
0,35,3,2,1,1,0,0,1,6,0,2,0,201,False
0,18,10,2,2,4,0,0,0,0,0,2,80,43,False
1,39,5,2,3,5,0,0,0,0,0,2,550,1,False
1,23,1,2,8,4,0,0,0,0,1,1,280,1,False
1,37,0,2,8,4,0,0,0,0,0,3,184,1,True
0,24,13,2,11,8,1,0,0,0,0,2,280,2,False
0,47,13,2,3,5,5,1,1,9,1,2,0,1,True
1,34,5,2,9,4,0,0,0,0,1,2,290,7,True
1,22,0,1,1,1,0,0,0,0,0,2,100,1,False
1,27,1,2,4,8,0,0,0,0,1,1,140,1,False
1,42,4,2,6,4,0,0,0,0,0,2,108,101,False
1,28,14,2,2,4,0,0,0,0,0,2,0,287,False
1,36,5,2,8,5,2,1,1,6,0,2,0,368,True
0,18,10,1,11,8,0,0,0,0,0,2,340,1,False
1,21,1,2,9,4,1,0,0,0,0,2,150,9,True
0,38,1,2,6,4,0,0,0,0,0,2,0,391,False
1,31,0,1,7,4,0,0,0,0,0,2,0,1,False
0,17,9,2,6,4,1,0,1,10,1,2,0,11,False
0,20,0,2,11,4,1,1,1,1,0,2,0,1,True
0,39,4,2,8,4,3,0,0,0,0,2,480,1,False
1,38,0,2,4,4,0,1,0,0,1,2,280,1,True
1,27,13,2,9,4,5,1,0,0,1,2,487,501,True
1,27,0,1,13,4,0,1,1,2,0,2,260,501,True
1,19,0,1,1,1,0,0,1,4,0,2,45,2,False
0,25,0,2,14,8,1,1,0,0,1,2,160,5861,True
1,27,2,2,14,8,1,1,1,4,0,2,140,7545,True
1,22,9,2,6,4,0,0,0,0,0,2,0,1,False
0,49,13,2,4,8,8,1,0,0,1,2,0,1,True
1,32,2,2,8,4,1,0,0,0,1,2,280,1,False
1,38,10,1,4,4,0,0,0,0,0,2,160,1,False
1,47,6,2,8,4,1,0,0,0,1,2,0,229,False
1,27,4,1,3,8,5,1,1,2,1,2,75,1,False
0,35,0,2,6,4,0,1,1,4,0,2,0,1584,True
1,33,0,2,3,5,4,0,0,0,1,1,420,1,False
1,34,0,1,7,5,0,1,1,1,1,2,280,2001,True
0,20,10,2,13,8,0,1,1,1,1,2,80,51,True
1,33,1,2,14,4,0,1,1,7,1,2,340,4072,True
1,22,11,2,11,4,2,1,1,7,1,2,100,810,True
1,48,8,2,8,8,12,1,1,9,0,2,181,1656,True
1,40,5,2,8,4,5,1,1,7,0,2,0,3066,True
1,20,0,1,8,4,2,0,0,0,1,1,240,1,False
0,38,1,2,1,1,0,0,0,0,0,2,76,1,False
0,57,19,2,8,4,5,1,1,7,0,2,0,3001,True
0,31,3,2,13,8,0,1,1,9,1,2,181,1,True
1,22,0,2,9,4,0,0,1,1,0,2,420,284,False
0,58,10,2,11,4,4,1,1,14,0,2,0,1603,True
1,28,0,2,8,4,0,0,0,0,0,2,220,141,False
0,46,4,2,5,3,0,1,0,0,0,2,100,961,True
1,21,3,1,2,4,1,1,1,8,1,2,160,2,True
0,24,12,2,6,4,1,1,1,12,1,2,120,568,True
0,20,0,1,10,2,1,0,0,0,0,2,260,1,False
1,24,13,1,1,1,0,0,0,0,0,2,184,1,False
0,26,2,1,8,4,0,0,0,0,0,1,80,1,False
1,40,0,2,1,1,0,1,0,0,0,2,130,2,False
0,38,4,2,8,4,0,0,0,0,0,2,160,1,False
1,19,0,2,1,1,0,0,1,3,0,2,350,770,False
1,39,9,2,7,4,6,1,1,14,0,2,240,4608,True
1,25,0,2,8,4,1,1,1,5,1,2,312,1,True
0,46,3,2,8,4,2,1,1,8,1,2,396,4160,True
1,19,10,1,4,8,0,1,0,0,1,2,140,1,False
0,22,1,1,1,1,3,0,0,0,0,2,280,1,False
1,18,3,1,1,1,0,0,0,0,1,2,180,2,False
1,64,20,2,14,8,17,1,1,9,1,2,0,1001,True
0,16,1,2,11,4,0,0,1,1,0,2,108,99,False
0,68,15,2,10,9,0,1,1,14,0,2,0,3377,True
1,76,22,2,10,9,12,1,1,1,1,2,0,110,True
0,15,2,2,11,4,0,0,0,0,0,2,120,1,False
1,34,4,2,2,5,12,1,0,0,1,2,184,1,False
0,47,8,2,10,5,6,1,1,6,0,2,375,51101,True
1,23,0,2,8,4,0,0,0,0,0,3,184,1,True
1,45,1,2,8,4,2,1,0,0,1,2,140,1,False
1,15,7,2,10,4,1,0,0,0,0,2,600,1,False
1,18,0,1,8,4,0,0,1,1,0,2,200,2,False
1,52,6,2,4,4,6,1,1,15,0,2,0,11203,True
1,19,0,1,7,5,0,0,0,0,1,1,500,2,True
1,18,0,2,11,7,0,0,0,0,0,2,200,41,True
1,37,0,2,10,4,0,0,0,0,0,2,120,6,False
1,22,1,1,9,4,3,1,1,6,0,2,80,1,True
1,47,4,2,14,5,0,0,0,0,1,2,520,1,False
1,34,2,2,8,4,1,0,0,0,0,2,460,17,False
0,33,1,2,2,4,0,0,0,0,1,2,0,1,False
1,43,0,1,8,4,0,1,1,8,1,2,300,163,True
1,34,4,1,3,5,8,1,1,7,1,2,195,1,True
1,42,3,2,3,5,1,1,0,0,0,2,0,201,False
1,18,0,2,2,4,0,0,0,0,1,1,280,1,False
1,23,2,2,1,1,0,0,0,0,1,2,100,4209,False
0,22,8,1,14,4,2,0,0,0,0,2,164,1,True
1,17,0,2,6,4,0,0,0,0,0,2,280,751,False
1,18,10,1,6,4,0,1,0,0,0,2,120,376,False
0,27,1,2,7,4,2,1,0,0,0,1,368,1,False
0,18,9,1,8,4,1,1,1,4,1,2,80,501,True
1,22,0,2,3,4,1,0,1,1,1,2,400,10,False
1,62,12,1,8,8,5,1,0,0,0,2,112,1,False
0,23,9,2,11,4,8,1,1,5,1,2,120,1,True
1,35,3,2,14,8,3,1,0,0,1,2,680,1,False
0,56,4,1,1,1,5,0,0,0,1,2,0,5,False
0,53,0,2,1,1,0,0,0,0,1,1,62,28,False
1,41,4,2,13,8,7,1,1,8,0,2,320,1,True
1,42,5,2,11,8,12,1,0,0,1,2,92,1,True
1,41,1,1,9,4,0,0,0,0,0,2,0,196,False
0,33,0,2,4,5,1,1,1,3,1,2,212,1,False
1,25,12,2,13,4,1,1,1,67,1,2,140,259,True
1,24,6,1,2,4,5,1,0,0,1,1,100,1,True
1,23,11,1,9,4,0,1,0,0,1,2,160,301,True
1,30,2,2,13,8,2,0,0,0,1,1,340,1,False
1,37,4,2,8,5,5,1,0,0,1,1,280,1,False
1,26,1,2,9,4,0,0,0,0,0,2,100,1,False
0,29,0,2,9,4,0,0,0,0,1,2,300,1,False
0,23,1,2,5,3,0,0,1,1,0,2,200,54,False
1,17,3,2,4,4,0,0,0,0,1,2,160,41,False
1,29,14,2,6,4,5,1,1,5,1,2,168,1,True
0,28,3,2,3,5,0,1,0,0,1,2,171,1,False
1,34,0,2,8,4,0,0,0,0,0,3,184,1,False
1,23,0,2,8,8,0,1,0,0,0,2,180,1,False
1,25,11,2,8,4,2,1,1,17,0,2,200,1209,True
0,18,7,2,11,4,2,1,1,5,0,2,184,26727,True
1,17,0,2,11,4,0,0,1,4,0,2,160,9,False
0,16,0,2,1,1,0,0,1,1,0,2,160,127,False
1,32,2,2,6,4,1,0,1,2,1,2,720,1,False
0,20,10,2,8,8,1,1,1,4,0,2,50,1466,True
0,21,1,1,5,3,0,0,0,0,0,2,160,1,False
1,33,1,2,12,8,6,1,0,0,1,2,164,31286,True
0,25,2,2,8,8,2,1,0,0,1,2,360,2,False
0,24,3,2,11,8,1,1,1,19,0,2,0,501,True
1,30,0,2,9,4,1,1,1,1,0,2,202,1,True
1,20,5,1,5,4,0,0,0,0,0,2,140,185,False
0,40,8,1,4,4,0,0,1,2,0,2,184,19,False
1,29,1,2,8,8,0,0,1,2,1,2,400,109,False
1,40,0,1,7,4,0,0,0,0,1,2,130,1,False
0,29,0,2,4,4,0,1,1,4,0,2,380,501,True
1,54,0,1,4,8,3,1,0,0,0,2,180,315,True
1,34,5,1,8,4,1,0,0,0,1,2,60,1,False
1,25,12,2,4,4,2,1,1,2,1,2,120,6,False
0,26,2,1,1,1,0,0,0,0,1,2,180,61,False
0,33,4,2,11,8,1,1,1,2,0,2,0,1,True
1,33,2,2,8,4,1,0,0,0,0,3,120,1,False
1,36,5,2,3,5,5,0,0,0,0,2,210,688,False
1,19,0,2,4,4,0,0,0,0,0,2,280,365,False
1,24,0,2,11,4,4,1,1,2,1,2,520,2001,True
0,30,6,2,8,5,4,1,1,7,1,2,0,3066,True
1,20,7,2,8,4,0,0,0,0,0,2,0,1,False
1,25,0,2,8,4,0,1,1,7,1,2,96,5125,True
1,29,4,2,7,4,2,0,1,1,1,2,460,69,False
1,43,2,2,3,5,0,1,0,0,0,2,560,1,False
1,28,1,2,4,4,0,1,0,0,0,1,280,1,False
1,31,3,1,3,5,7,0,0,0,0,2,0,2,False
1,20,9,2,10,2,0,1,0,0,0,2,0,1,True
1,45,8,2,13,8,14,1,1,1,1,2,88,2001,True
0,22,2,2,11,8,2,1,1,7,1,2,140,2385,True
0,20,3,2,11,4,0,1,1,3,0,2,100,7,True
1,27,1,2,9,4,2,0,1,1,1,2,100,4,False
1,40,2,1,14,8,10,1,0,0,1,2,176,1,False
1,56,28,1,8,4,28,1,1,40,0,2,0,16,True
0,64,0,2,1,1,0,1,1,1,0,2,232,101,True
0,22,11,1,14,8,0,1,1,4,0,2,0,322,True
0,24,2,1,3,5,4,0,0,0,0,2,200,457,False
0,69,6,2,1,1,0,0,0,0,0,1,0,1,False
1,35,0,2,4,4,1,0,0,0,1,2,231,1,False
1,48,12,2,7,4,16,1,0,0,0,1,110,1,True
0,28,15,1,10,9,0,1,0,0,0,2,0,13213,True
1,35,2,2,4,4,4,1,1,7,0,2,150,1271,True
1,49,7,2,3,5,7,1,1,15,1,2,0,5001,True
1,80,5,2,8,4,0,1,0,0,0,2,0,341,False
1,29,13,2,2,8,0,0,0,0,0,2,228,1,False
0,16,0,2,3,4,0,0,1,6,1,2,240,36,False
0,16,0,2,6,4,1,0,1,2,1,2,320,2,False
1,60,14,2,1,1,18,1,1,15,1,2,0,1001,True
1,28,2,2,4,8,4,1,1,2,1,2,181,1,True
1,41,1,2,3,5,3,0,0,0,0,2,216,1,True
1,24,9,2,6,4,0,0,0,0,1,2,0,1,False
1,24,13,1,6,4,0,0,0,0,1,2,120,476,False
1,34,15,2,12,7,5,1,1,9,1,2,0,135,True
1,33,1,2,9,4,1,0,0,0,0,2,120,1,False
0,40,10,2,11,8,1,1,0,0,0,2,29,838,True
1,20,1,2,8,4,2,1,1,1,0,2,100,151,True
1,37,1,1,2,4,1,0,0,0,1,2,431,1,True
1,48,4,2,7,4,0,1,0,0,1,2,225,1,True
1,23,0,2,7,4,0,0,0,0,1,1,320,1,False
1,35,3,2,8,8,8,0,0,0,1,2,0,1,False
1,16,2,2,6,4,0,0,1,1,0,2,80,22,False
1,22,10,2,11,8,1,1,0,0,0,2,100,1,True
0,21,11,2,8,4,0,0,0,0,1,2,180,1,False
0,25,2,1,6,4,0,1,0,0,1,2,370,1,True
1,36,2,1,9,4,0,1,1,1,0,2,50,1188,True
0,28,3,2,8,4,0,0,1,1,1,2,40,155,False
1,22,12,2,8,4,3,0,1,2,1,2,180,174,False
1,34,1,2,13,4,1,1,1,1,1,2,520,50001,True
1,35,2,2,3,4,1,0,0,0,1,2,210,1,False
1,28,3,2,6,4,0,0,0,0,1,2,100,1,False
0,19,5,2,3,8,0,0,0,0,0,2,80,485,False
1,23,1,2,8,4,0,1,0,0,0,1,300,1,True
1,16,0,2,8,4,0,0,0,0,0,2,132,1,False
0,20,0,2,11,4,1,0,1,1,0,2,240,769,True
1,22,11,2,9,4,2,1,1,1,0,2,80,279,True
1,34,5,1,3,5,1,0,0,0,1,2,480,1,False
0,57,0,2,3,5,1,1,0,0,1,2,252,2198,False
1,16,0,2,7,4,0,1,0,0,0,1,200,1,False
1,32,2,2,13,8,2,1,1,6,0,2,160,2073,True
1,48,25,2,9,4,1,1,1,3,0,2,120,15,True
1,34,2,2,3,5,2,0,0,0,1,2,232,201,False
1,18,1,1,10,2,0,0,0,0,0,2,100,1,False
1,44,0,2,7,4,10,1,0,0,0,1,400,1,False
1,38,1,2,4,4,0,0,0,0,1,2,300,3,False
1,31,0,1,6,4,3,0,0,0,1,2,320,1,False
1,25,1,2,14,4,1,1,1,1,1,2,395,21,True
1,65,11,2,10,9,20,1,1,7,1,2,22,1,True
1,41,0,2,8,5,15,1,0,0,0,2,0,1,True
1,31,1,2,1,1,0,0,1,1,0,2,96,20,False
0,36,4,2,1,1,0,0,0,0,0,2,160,1,False
1,32,7,2,10,5,1,1,0,0,1,1,420,1,False
0,31,3,2,1,1,3,0,1,2,1,2,200,5,False
1,24,2,2,8,4,2,1,1,6,0,2,184,601,True
1,21,0,1,14,4,0,1,1,1,1,2,840,60,True
1,34,3,2,13,8,7,1,0,0,1,2,0,1,True
1,51,3,1,1,1,1,0,0,0,0,2,180,5,False
0,31,1,2,1,1,0,0,1,2,1,2,200,106,False
1,38,0,2,8,4,0,0,1,2,0,2,225,501,False
1,39,1,2,14,4,0,1,1,5,1,2,480,1,True
1,18,2,2,8,7,0,0,1,2,1,2,160,588,False
1,39,5,2,13,4,3,1,1,10,1,2,0,1,True
1,20,11,2,8,4,2,0,0,0,1,2,136,1,False
1,32,2,2,2,8,5,0,0,0,1,2,292,1,False
1,18,5,2,2,4,0,0,0,0,0,2,120,1,False
0,15,7,2,11,4,0,0,1,1,1,2,0,161,False
1,39,5,2,13,8,10,1,1,14,1,2,399,1,True
0,19,0,2,9,4,1,0,0,0,0,2,220,6,False
1,21,10,2,8,4,3,1,0,0,1,2,0,1,True
0,22,0,2,8,4,2,0,1,2,1,2,200,395,False
1,25,3,2,8,8,2,0,1,1,1,2,416,22,False
1,21,10,1,10,8,1,0,0,0,0,2,260,1,False
0,49,1,2,5,3,0,1,0,0,1,2,100,28,False
1,20,5,2,11,4,0,1,1,1,0,2,160,1,False
0,19,0,2,11,8,0,1,1,11,0,2,80,100,True
1,21,0,2,2,8,0,1,0,0,1,2,0,1,True
1,26,0,2,4,1,0,0,0,0,0,2,100,1,False
0,38,5,2,13,4,13,1,0,0,1,2,980,1,False
0,50,12,2,6,4,2,1,1,3,1,2,156,1,True
0,15,0,2,8,4,1,0,0,0,0,2,120,19,False
0,24,12,2,8,5,4,1,1,2,0,2,73,445,True
1,21,4,1,9,4,2,1,1,1,1,2,80,301,True
1,22,11,2,13,4,0,1,0,0,0,2,100,1,True
1,54,9,2,1,1,14,1,1,11,1,2,30,301,True
1,18,5,2,4,4,0,1,0,0,0,2,80,1,True
1,36,4,1,4,4,0,1,1,10,1,2,320,1,True
1,38,10,2,14,4,2,1,1,6,0,2,520,197,True
1,21,1,2,4,4,0,0,0,0,1,2,356,1,False
0,51,6,2,3,5,3,0,0,0,1,2,73,1,False
1,22,2,2,3,4,0,0,0,0,0,2,160,11,False
1,52,1,2,2,4,3,0,0,0,1,2,0,351,False
0,60,5,2,6,4,4,1,1,4,0,2,0,100,True
1,20,5,2,9,4,1,1,0,0,0,1,120,1,True
1,23,4,2,8,5,0,1,0,0,1,2,160,1,True
1,36,0,1,9,4,0,0,0,0,1,2,309,3,False
0,42,1,1,8,4,0,0,0,0,1,2,150,2,False
1,23,0,2,3,8,0,0,0,0,1,2,220,6,False
0,36,1,2,8,4,2,1,1,11,0,2,0,457,True
1,39,5,2,1,1,0,0,1,2,0,2,17,2,False
0,18,4,1,8,8,3,1,0,0,0,2,240,1,True
1,27,0,2,6,4,0,1,0,0,1,2,200,1,False
1,32,3,2,2,4,0,0,0,0,1,2,120,1,False
1,19,1,1,13,4,2,1,0,0,1,2,100,21,False
0,22,10,2,11,4,0,1,1,5,1,2,0,561,True
1,39,6,2,11,4,0,1,1,1,0,2,200,301,True
1,22,0,2,8,3,2,0,0,0,1,1,0,1,True
0,23,0,1,11,4,1,1,1,2,1,2,80,401,True
0,30,5,2,10,2,2,1,1,5,1,2,99,501,True
0,40,7,1,11,8,8,1,1,14,0,2,0,2301,True
0,36,5,2,10,4,5,1,0,0,1,2,0,4001,True
1,31,2,2,8,4,0,0,0,0,0,2,300,1,False
0,25,2,2,14,8,0,1,0,0,0,2,360,1,True
1,27,12,2,6,5,0,0,0,0,1,2,720,1,False
1,31,4,2,14,4,5,1,1,3,1,2,290,2280,True
1,34,6,2,6,4,0,1,0,0,1,2,443,1,False
1,22,2,2,4,4,0,0,0,0,0,2,180,1,False
1,31,3,2,8,4,2,0,1,2,1,2,160,42,False
1,31,0,2,8,5,0,1,0,0,1,1,320,1,False
1,16,3,2,9,4,0,0,1,1,0,2,0,7,False
1,27,1,2,13,8,5,1,1,9,0,2,399,828,True
1,25,3,2,8,4,1,0,1,1,0,2,0,23,False
1,67,5,2,10,9,13,1,1,1,1,2,0,1,True
0,18,9,2,9,4,1,1,1,6,1,2,40,601,True
0,27,0,2,7,8,0,0,1,1,1,2,272,109,False
0,19,0,1,8,4,1,0,1,1,0,2,2000,3,False
1,30,1,2,2,4,0,0,0,0,1,1,0,1,False
0,50,0,2,6,4,0,0,0,0,1,2,240,118,False
1,31,1,1,9,4,0,0,0,0,0,1,160,1,False
1,51,15,2,8,4,8,1,1,9,0,2,0,1,True
0,36,0,2,1,1,0,0,1,10,0,2,200,19,False
1,33,2,2,7,4,4,1,1,6,0,2,204,1,True
0,20,3,2,6,4,0,1,0,0,0,2,100,1,True
1,36,18,2,9,4,0,0,0,0,0,2,320,3553,False
1,50,0,2,1,1,0,0,0,0,0,2,145,1,False
0,23,0,2,11,4,0,0,1,1,1,2,200,12,False
1,35,4,2,14,8,5,0,0,0,1,1,711,1,True
0,58,21,2,3,5,10,1,1,13,0,2,0,6701,True
1,28,0,2,7,4,0,1,1,3,1,2,396,1,True
1,31,0,2,4,4,0,0,0,0,0,2,380,2011,False
0,31,3,1,5,3,0,0,0,0,0,2,160,21,False
1,19,6,2,9,8,1,1,1,7,0,2,80,2955,True
1,39,6,2,7,4,1,1,1,5,1,2,108,1098,True
1,17,3,2,3,4,0,0,0,0,1,2,140,3,False
1,44,7,1,8,4,1,0,0,0,0,2,160,3,False
1,16,0,1,6,4,0,0,0,0,0,2,60,1,False
0,41,6,2,11,4,0,1,1,3,1,2,145,1,True
1,28,15,2,8,8,5,1,1,11,0,2,0,2284,True
0,26,2,2,5,3,0,0,0,0,1,2,276,2,False
1,38,3,2,9,4,4,1,1,14,0,2,383,1345,True
1,25,6,2,8,4,1,1,1,3,0,2,0,1,True
0,28,0,2,11,4,0,1,1,4,0,2,80,1,True
1,73,17,2,1,1,0,1,0,0,1,2,0,1,True
1,22,11,1,7,4,1,0,0,0,1,2,0,4001,False
0,27,1,2,1,1,0,0,1,1,0,2,92,301,False
0,19,8,2,13,8,0,1,1,7,0,2,96,1,True
0,25,0,2,8,4,0,0,0,0,0,3,184,1,True
1,31,0,1,2,4,4,0,0,0,1,2,460,1,False
0,22,8,2,11,4,1,1,1,10,0,2,80,991,False
0,22,1,2,11,4,0,0,0,0,1,2,120,810,False
1,23,12,2,8,4,0,0,1,2,0,2,0,5553,False
0,29,1,1,14,4,1,0,0,0,0,2,280,14,False
0,32,6,2,2,4,1,0,0,0,0,2,272,1,False
1,27,1,1,9,4,0,1,0,0,1,2,260,1066,True
1,19,10,2,8,5,0,0,1,2,1,2,200,8,False
1,35,2,2,9,4,0,0,1,2,0,2,220,2,False
1,18,0,2,11,4,0,0,0,0,0,2,160,2,False
0,28,3,2,8,4,1,1,1,1,1,2,371,1,True
1,34,4,2,3,5,3,1,1,2,0,2,274,611,True
0,33,3,1,6,4,2,0,0,0,0,2,180,1,False
1,53,9,2,10,4,8,1,1,5,0,2,0,1,True
1,25,1,2,6,4,0,0,0,0,0,2,200,1,False
1,32,2,1,4,1,0,0,0,0,0,2,120,1,False
0,21,5,1,1,1,0,0,0,0,0,2,0,1,False
0,56,16,2,5,1,0,1,1,15,0,2,0,248,True
1,32,0,1,8,8,3,1,1,1,1,2,432,8001,True
0,20,11,2,8,8,6,1,0,0,0,2,340,1,True
0,30,5,2,4,4,5,0,0,0,1,1,100,1,False
0,24,0,2,6,8,1,1,0,0,0,2,400,1,False
1,23,11,2,14,8,0,1,1,1,0,2,100,1,True
0,31,11,2,1,1,0,0,0,0,0,2,184,5201,False
0,32,0,2,13,4,0,1,0,0,0,2,440,11178,True
1,23,1,2,2,8,1,1,1,6,0,2,200,328,True
1,36,0,1,8,4,1,0,0,0,1,2,232,114,True
1,29,1,1,4,4,0,0,0,0,0,2,224,1,False
0,24,0,2,11,8,1,1,1,1,0,2,0,679,True
1,21,0,1,8,8,0,0,0,0,0,2,280,205,False
1,31,15,2,8,4,0,1,0,0,0,2,120,1,False
1,22,3,2,7,4,1,1,1,1,0,2,260,801,True
1,37,1,1,8,5,0,1,0,0,1,2,164,401,False
0,24,4,2,9,4,1,0,0,0,1,2,360,7,False
1,36,3,2,9,4,1,1,0,0,1,2,200,1,False
0,47,0,2,11,8,2,1,1,1,0,2,333,893,True
1,32,4,1,13,4,1,0,0,0,1,2,120,1,False
0,30,10,2,11,8,0,0,1,12,1,2,129,4,False
1,27,1,2,9,4,3,1,1,5,1,2,100,4,True
1,54,15,2,10,9,0,1,1,20,0,2,152,131,False
1,16,0,2,8,4,1,1,1,5,1,2,352,691,True
1,24,12,2,9,4,0,1,0,0,1,2,260,1,False
1,32,5,2,11,8,5,1,1,12,1,2,408,1001,True
1,30,0,2,8,4,1,1,1,11,0,2,32,541,True
1,22,0,2,4,4,0,0,0,0,1,2,280,56,False
1,41,0,2,14,4,2,1,0,0,0,2,510,601,True
1,36,2,2,3,4,0,0,0,0,1,2,221,1,False
1,25,12,2,13,4,0,0,0,0,0,2,0,3,False
1,29,1,2,8,8,4,1,0,0,0,2,260,201,True
1,20,0,2,11,4,0,0,0,0,0,2,200,1,False
1,19,0,2,11,4,2,1,1,2,1,2,80,1,True
1,51,0,2,14,8,0,1,0,0,0,2,0,3001,True
1,62,7,2,10,9,0,0,0,0,0,2,0,13,False
1,40,3,2,7,4,3,0,0,0,1,1,400,1,False
0,16,0,2,6,4,0,0,0,0,0,2,200,2,False
1,29,0,2,9,4,0,0,1,1,0,2,340,2804,False
1,34,4,2,6,4,1,1,0,0,1,2,240,1,False
0,71,0,2,8,4,0,0,0,0,0,3,184,1,True
1,42,0,2,3,8,5,1,0,0,0,2,400,1,True
0,22,11,1,11,4,3,1,0,0,1,2,268,1,False
1,24,2,2,10,2,0,0,1,2,0,2,320,1301,False
1,44,0,2,3,8,5,1,0,0,1,2,320,1,True
0,23,11,2,14,8,0,1,1,2,1,2,300,552,True
1,34,1,2,3,5,0,0,0,0,1,2,440,4501,False
1,23,11,2,3,4,3,1,1,9,0,2,56,743,True
1,25,0,2,4,4,0,0,1,2,1,2,174,4,False
