age,sex,job,housing,saving_accounts,checking_account,credit_amount,duration,purpose
20.0,male,2,rent,,rich,3617.0,24.0,furniture/equipment
54.0,male,2,own,rich,moderate,1318.0,12.0,car
58.0,male,2,rent,little,moderate,15945.0,54.0,business
61.0,female,2,own,,,2012.0,12.0,education
34.0,male,2,own,moderate,moderate,2622.0,18.0,business
36.0,male,2,own,little,moderate,2337.0,36.0,radio/TV
36.0,male,3,rent,,moderate,7057.0,20.0,car
41.0,male,1,rent,moderate,,1469.0,24.0,car
24.0,male,2,rent,little,moderate,2323.0,36.0,radio/TV
24.0,female,2,own,little,,932.0,6.0,radio/TV
35.0,male,2,rent,little,moderate,1919.0,9.0,furniture/equipment
26.0,male,2,rent,,,2445.0,12.0,car
39.0,male,3,own,little,moderate,11938.0,24.0,vacation/others
39.0,male,3,own,little,,6458.0,18.0,car
32.0,male,2,own,little,moderate,6078.0,12.0,car
30.0,female,2,own,,little,7721.0,24.0,furniture/equipment
35.0,male,2,own,quite rich,moderate,1410.0,14.0,business
31.0,male,2,own,moderate,moderate,1449.0,6.0,business
23.0,female,2,rent,little,rich,392.0,15.0,education
28.0,male,1,rent,little,moderate,6260.0,18.0,car
25.0,female,2,own,little,,7855.0,36.0,car
35.0,male,2,own,quite rich,little,1680.0,12.0,radio/TV
47.0,male,2,own,,,3578.0,48.0,radio/TV
30.0,female,3,own,,little,7174.0,42.0,radio/TV
27.0,female,2,rent,,little,2132.0,10.0,furniture/equipment
23.0,female,2,own,quite rich,little,4281.0,33.0,furniture/equipment
36.0,male,3,own,quite rich,moderate,2366.0,12.0,car
25.0,female,2,own,little,little,1835.0,21.0,radio/TV
41.0,female,3,rent,little,,3868.0,24.0,car
24.0,male,1,rent,little,,1768.0,12.0,furniture/equipment
63.0,male,2,free,little,rich,781.0,10.0,car
27.0,female,2,rent,,moderate,1924.0,18.0,furniture/equipment
30.0,male,2,own,little,little,2121.0,12.0,car
40.0,male,1,own,little,little,701.0,12.0,radio/TV
30.0,male,2,own,little,moderate,639.0,12.0,repairs
34.0,male,3,own,little,moderate,1860.0,12.0,car
29.0,female,2,own,little,little,3499.0,12.0,car
24.0,female,2,own,,moderate,8487.0,48.0,car
29.0,male,2,own,little,little,6887.0,36.0,education
27.0,male,1,own,little,,2708.0,15.0,furniture/equipment
47.0,male,2,free,little,,1984.0,18.0,furniture/equipment
21.0,female,2,own,moderate,,10144.0,60.0,radio/TV
38.0,female,2,own,,,1240.0,12.0,radio/TV
27.0,male,2,own,rich,,8613.0,27.0,car
66.0,male,1,own,quite rich,moderate,766.0,12.0,radio/TV
35.0,male,2,own,,moderate,2728.0,15.0,radio/TV
44.0,female,1,rent,little,rich,1881.0,12.0,radio/TV
27.0,male,0,own,rich,rich,709.0,6.0,car
30.0,female,3,own,little,moderate,4795.0,36.0,radio/TV
27.0,male,3,own,little,little,3416.0,27.0,radio/TV
22.0,male,2,own,little,little,2462.0,18.0,furniture/equipment
23.0,female,2,own,little,,2288.0,21.0,furniture/equipment
30.0,male,2,own,moderate,moderate,3566.0,48.0,business
39.0,female,2,own,little,little,860.0,6.0,car
51.0,female,2,own,moderate,,682.0,12.0,car
28.0,male,2,own,little,little,5371.0,36.0,furniture/equipment
46.0,male,2,own,rich,,1582.0,18.0,radio/TV
42.0,male,2,free,moderate,,1346.0,6.0,radio/TV
38.0,male,2,own,little,,1924.0,10.0,radio/TV
24.0,male,2,own,little,rich,5848.0,36.0,radio/TV
29.0,female,2,rent,rich,moderate,7758.0,24.0,car
36.0,male,3,rent,moderate,moderate,6967.0,24.0,business
20.0,female,2,rent,little,little,1282.0,12.0,furniture/equipment
48.0,male,2,own,moderate,little,1288.0,9.0,repairs
45.0,male,1,own,little,little,339.0,12.0,education
38.0,male,2,own,moderate,moderate,3512.0,24.0,car
34.0,male,1,own,,,1898.0,6.0,radio/TV
36.0,male,2,own,moderate,,2872.0,24.0,radio/TV
30.0,female,2,own,little,,1055.0,18.0,car
36.0,male,2,own,quite rich,,1262.0,15.0,domestic appliances
70.0,male,3,free,little,moderate,7308.0,10.0,car
36.0,male,2,own,quite rich,,909.0,36.0,car
32.0,male,2,own,quite rich,,2978.0,6.0,furniture/equipment
33.0,female,2,own,little,little,1131.0,18.0,furniture/equipment
20.0,female,2,own,rich,moderate,1577.0,11.0,furniture/equipment
25.0,female,2,rent,little,,3972.0,24.0,furniture/equipment
31.0,male,2,own,little,moderate,1935.0,24.0,business
33.0,male,2,rent,little,little,950.0,15.0,car
26.0,female,2,own,little,,763.0,12.0,furniture/equipment
34.0,female,3,own,little,moderate,2064.0,24.0,furniture/equipment
33.0,male,2,own,little,moderate,1414.0,8.0,radio/TV
26.0,male,2,own,little,little,3414.0,21.0,education
53.0,female,3,own,,,7485.0,30.0,car
42.0,male,2,own,little,little,2577.0,12.0,furniture/equipment
52.0,male,2,own,quite rich,little,338.0,6.0,radio/TV
31.0,male,3,rent,little,,1963.0,12.0,radio/TV
65.0,male,2,own,little,little,571.0,21.0,car
28.0,male,2,own,little,,9572.0,36.0,business
30.0,male,3,own,little,moderate,4455.0,36.0,business
40.0,male,1,own,,little,1647.0,21.0,car
50.0,male,2,own,rich,,3777.0,24.0,furniture/equipment
36.0,male,2,own,little,moderate,884.0,18.0,car
31.0,male,2,own,little,,1360.0,15.0,radio/TV
74.0,female,3,free,little,moderate,5129.0,9.0,car
68.0,male,0,free,little,moderate,1175.0,16.0,car
20.0,male,2,own,moderate,little,674.0,12.0,radio/TV
33.0,female,2,own,little,moderate,3244.0,18.0,furniture/equipment
54.0,male,3,own,rich,,4591.0,24.0,business
34.0,male,1,free,moderate,moderate,3844.0,48.0,business
36.0,male,2,own,little,moderate,3915.0,27.0,business
29.0,male,2,rent,little,,2108.0,6.0,radio/TV
21.0,male,2,rent,moderate,moderate,3031.0,45.0,radio/TV
34.0,female,3,own,little,moderate,1501.0,9.0,education
28.0,female,2,own,little,,1382.0,6.0,radio/TV
27.0,female,2,rent,moderate,moderate,951.0,12.0,furniture/equipment
36.0,male,2,free,,moderate,2760.0,24.0,car
40.0,male,3,own,little,moderate,4297.0,18.0,furniture/equipment
52.0,male,2,own,quite rich,,936.0,9.0,education
27.0,male,1,own,little,little,1168.0,12.0,car
26.0,male,2,own,little,,5117.0,27.0,business
21.0,male,2,rent,little,little,902.0,12.0,education
38.0,male,1,own,little,,1495.0,12.0,car
38.0,male,3,free,little,little,10623.0,30.0,car
43.0,male,2,own,little,,1935.0,12.0,furniture/equipment
26.0,male,2,own,little,moderate,1424.0,12.0,domestic appliances
21.0,male,1,own,little,little,6568.0,24.0,business
55.0,male,2,own,rich,,1413.0,12.0,car
33.0,male,2,own,,,3074.0,9.0,radio/TV
45.0,female,1,own,,,3835.0,36.0,radio/TV
50.0,male,2,own,little,little,5293.0,27.0,business
66.0,male,3,own,little,rich,1908.0,30.0,business
51.0,male,2,own,,,3342.0,36.0,radio/TV
39.0,female,1,own,,moderate,932.0,6.0,education
31.0,male,2,own,little,little,3104.0,18.0,business
23.0,male,2,own,little,rich,3913.0,36.0,radio/TV
24.0,male,1,rent,little,little,3021.0,24.0,furniture/equipment
64.0,female,2,own,little,,1364.0,10.0,car
26.0,male,1,own,little,moderate,625.0,12.0,radio/TV
23.0,female,2,rent,,little,1200.0,12.0,education
30.0,male,2,own,little,,707.0,12.0,radio/TV
32.0,male,2,own,,,2978.0,24.0,business
30.0,male,2,own,little,,4657.0,15.0,car
27.0,male,2,own,little,,2613.0,36.0,repairs
27.0,male,2,own,rich,moderate,10961.0,48.0,radio/TV
53.0,male,3,free,little,little,7865.0,12.0,furniture/equipment
22.0,male,2,own,little,,1478.0,9.0,radio/TV
22.0,male,2,free,little,little,3149.0,24.0,furniture/equipment
26.0,male,2,own,little,rich,4210.0,36.0,radio/TV
51.0,male,1,free,quite rich,,2507.0,9.0,car
35.0,male,2,own,moderate,,2141.0,12.0,radio/TV
25.0,male,1,own,little,moderate,866.0,18.0,radio/TV
42.0,male,1,own,little,,1544.0,4.0,radio/TV
30.0,male,3,own,little,little,1823.0,24.0,radio/TV
23.0,male,0,own,,moderate,14555.0,6.0,car
61.0,male,1,rent,moderate,moderate,2767.0,21.0,business
35.0,female,2,own,little,,1291.0,12.0,radio/TV
39.0,male,2,own,little,little,2522.0,30.0,radio/TV
29.0,female,2,own,,little,915.0,24.0,car
51.0,male,2,own,little,,1595.0,6.0,radio/TV
24.0,male,2,free,little,little,4605.0,48.0,car
27.0,female,2,own,little,,1185.0,12.0,business
35.0,female,1,own,quite rich,,3447.0,12.0,education
25.0,male,2,own,little,,1258.0,24.0,business
52.0,male,2,own,little,,717.0,12.0,radio/TV
35.0,male,2,rent,moderate,,1204.0,6.0,car
26.0,male,2,own,little,rich,1925.0,24.0,furniture/equipment
22.0,female,2,rent,little,,433.0,18.0,radio/TV
39.0,female,1,own,rich,little,666.0,6.0,car
46.0,female,1,own,little,rich,2251.0,12.0,furniture/equipment
24.0,female,2,own,little,moderate,2150.0,30.0,car
35.0,male,2,own,moderate,,4151.0,24.0,furniture/equipment
24.0,male,2,own,,moderate,2030.0,9.0,furniture/equipment
27.0,male,1,own,,moderate,7418.0,60.0,radio/TV
35.0,male,1,own,little,,2684.0,24.0,radio/TV
29.0,male,2,free,little,little,2149.0,12.0,radio/TV
23.0,female,2,own,moderate,,3812.0,15.0,car
57.0,female,1,own,moderate,,1154.0,11.0,radio/TV
27.0,male,2,own,little,little,1657.0,12.0,furniture/equipment
55.0,female,2,own,little,little,1603.0,24.0,radio/TV
36.0,male,3,free,little,little,5302.0,18.0,car
57.0,female,1,free,little,,2748.0,12.0,education
32.0,male,1,own,little,,1231.0,10.0,car
37.0,male,2,own,little,moderate,802.0,15.0,radio/TV
36.0,male,2,own,,,6304.0,36.0,business
38.0,female,2,own,little,,1533.0,24.0,radio/TV
45.0,male,3,own,little,little,8978.0,14.0,car
25.0,male,2,own,,,999.0,24.0,radio/TV
32.0,male,2,own,,,2662.0,18.0,car
37.0,female,2,rent,quite rich,,1402.0,12.0,furniture/equipment
36.0,male,3,free,,moderate,12169.0,48.0,car
28.0,male,2,own,little,moderate,3060.0,48.0,radio/TV
34.0,male,1,own,little,little,11998.0,30.0,repairs
32.0,male,2,own,little,,2697.0,9.0,radio/TV
26.0,female,2,own,little,,2404.0,18.0,radio/TV
49.0,male,1,own,,little,1262.0,12.0,furniture/equipment
32.0,female,2,own,little,,4611.0,6.0,furniture/equipment
29.0,male,3,rent,moderate,,1901.0,24.0,radio/TV
23.0,male,2,rent,rich,,3368.0,15.0,car
50.0,male,2,own,little,,1574.0,12.0,furniture/equipment
49.0,male,1,own,,rich,1445.0,18.0,radio/TV
63.0,male,2,own,,,1520.0,15.0,furniture/equipment
37.0,male,2,own,moderate,moderate,3878.0,24.0,car
35.0,female,1,own,little,little,10722.0,47.0,car
26.0,male,2,own,little,little,4788.0,48.0,car
31.0,male,3,free,moderate,moderate,7582.0,48.0,vacation/others
49.0,female,2,own,little,moderate,1092.0,12.0,radio/TV
48.0,male,2,own,little,little,1024.0,24.0,radio/TV
26.0,male,2,own,little,,1076.0,12.0,business
28.0,male,3,rent,little,moderate,9398.0,36.0,car
44.0,female,3,free,little,little,6419.0,24.0,car
56.0,male,2,free,little,rich,4796.0,42.0,car
46.0,male,3,own,,,7629.0,48.0,business
26.0,female,2,own,little,moderate,9960.0,48.0,furniture/equipment
20.0,female,2,rent,,,4675.0,12.0,car
45.0,male,1,own,,,1287.0,10.0,car
43.0,male,2,own,little,,2515.0,18.0,furniture/equipment
32.0,male,2,own,rich,moderate,2745.0,21.0,furniture/equipment
54.0,female,0,own,little,,672.0,6.0,car
42.0,female,2,own,little,moderate,3804.0,36.0,radio/TV
37.0,male,1,own,,rich,1344.0,24.0,car
49.0,male,2,own,little,little,1038.0,10.0,car
44.0,male,2,free,quite rich,,10127.0,48.0,car
33.0,male,2,own,rich,,1543.0,6.0,furniture/equipment
24.0,female,1,rent,,,4811.0,30.0,car
33.0,male,1,own,moderate,little,727.0,12.0,radio/TV
24.0,female,2,own,little,moderate,1237.0,8.0,furniture/equipment
22.0,male,1,rent,little,moderate,276.0,9.0,car
40.0,male,0,free,,moderate,5381.0,48.0,vacation/others
25.0,male,2,own,moderate,,5511.0,24.0,furniture/equipment
26.0,female,2,own,little,rich,3749.0,24.0,furniture/equipment
25.0,male,1,own,little,moderate,685.0,12.0,car
29.0,male,1,own,,rich,1494.0,4.0,car
31.0,male,2,own,little,little,2746.0,36.0,furniture/equipment
38.0,male,1,own,little,little,708.0,12.0,furniture/equipment
48.0,female,1,own,,moderate,4351.0,24.0,furniture/equipment
32.0,male,2,own,little,,701.0,12.0,education
27.0,female,1,own,little,little,3643.0,15.0,furniture/equipment
28.0,male,3,own,little,moderate,4249.0,30.0,car
32.0,male,2,own,little,little,1938.0,24.0,radio/TV
34.0,male,3,free,little,little,2910.0,24.0,car
28.0,male,2,own,rich,little,2659.0,18.0,furniture/equipment
36.0,female,2,own,little,,1028.0,18.0,car
39.0,male,1,own,little,little,3398.0,8.0,car
49.0,male,2,rent,,,5801.0,12.0,furniture/equipment
34.0,female,2,own,rich,,1525.0,24.0,car
31.0,male,2,own,little,rich,4473.0,36.0,radio/TV
28.0,male,2,own,little,moderate,1068.0,6.0,radio/TV
75.0,male,3,free,little,little,6615.0,24.0,car
30.0,female,2,own,moderate,,1864.0,18.0,education
24.0,female,3,own,moderate,moderate,7408.0,60.0,car
24.0,female,1,rent,moderate,,11590.0,48.0,car
23.0,male,2,rent,little,little,4110.0,24.0,furniture/equipment
44.0,male,3,rent,little,little,3384.0,6.0,furniture/equipment
23.0,female,1,own,little,moderate,2101.0,13.0,radio/TV
24.0,female,2,rent,,little,1275.0,15.0,domestic appliances
28.0,male,2,own,little,little,4169.0,24.0,furniture/equipment
31.0,male,1,own,little,moderate,1521.0,10.0,furniture/equipment
24.0,female,2,free,little,moderate,5743.0,24.0,education
26.0,female,1,rent,little,little,3599.0,21.0,furniture/equipment
25.0,male,2,rent,quite rich,moderate,3213.0,18.0,radio/TV
33.0,male,3,own,little,moderate,4439.0,18.0,business
37.0,male,1,own,little,rich,3949.0,10.0,car
43.0,female,1,own,little,,1459.0,15.0,radio/TV
23.0,male,2,own,little,moderate,882.0,13.0,radio/TV
23.0,female,0,rent,quite rich,moderate,3758.0,24.0,radio/TV
34.0,male,1,own,moderate,,1743.0,6.0,business
32.0,male,2,free,rich,moderate,1136.0,9.0,education
23.0,female,2,rent,little,,1236.0,9.0,domestic appliances
29.0,female,2,own,little,moderate,959.0,9.0,furniture/equipment
38.0,male,3,own,,,3229.0,18.0,car
28.0,male,2,rent,little,little,6199.0,12.0,radio/TV
46.0,male,2,free,quite rich,,727.0,10.0,education
23.0,male,1,own,little,moderate,1246.0,24.0,car
49.0,male,2,own,,,2331.0,12.0,radio/TV
26.0,male,3,own,little,,4463.0,36.0,radio/TV
28.0,male,2,own,little,,776.0,12.0,radio/TV
23.0,female,2,rent,little,little,2406.0,30.0,furniture/equipment
61.0,male,2,free,,moderate,1239.0,18.0,education
37.0,male,3,own,,rich,3399.0,12.0,radio/TV
36.0,female,2,own,little,rich,2247.0,12.0,car
21.0,male,2,rent,little,,1766.0,6.0,furniture/equipment
25.0,male,0,own,little,little,2473.0,18.0,furniture/equipment
36.0,male,2,own,little,,1542.0,12.0,business
27.0,male,2,own,little,,3850.0,18.0,car
22.0,female,2,rent,little,little,3650.0,18.0,furniture/equipment
42.0,male,2,own,little,little,3446.0,36.0,furniture/equipment
40.0,female,2,rent,little,moderate,3001.0,18.0,furniture/equipment
36.0,male,2,own,,,3079.0,36.0,car
33.0,male,2,own,little,,6070.0,18.0,radio/TV
23.0,female,2,rent,little,,2146.0,10.0,furniture/equipment
63.0,male,3,free,,,13756.0,60.0,car
60.0,female,3,free,moderate,moderate,14782.0,60.0,vacation/others
37.0,female,2,rent,little,little,7685.0,48.0,business
34.0,male,2,own,little,,2320.0,18.0,radio/TV
36.0,male,2,free,,,846.0,7.0,radio/TV
57.0,male,3,free,little,moderate,14318.0,36.0,car
52.0,female,1,own,moderate,,362.0,6.0,car
39.0,male,2,own,,little,2212.0,20.0,furniture/equipment
38.0,female,3,free,little,moderate,12976.0,18.0,car
25.0,female,2,rent,,,1283.0,22.0,car
26.0,male,2,own,little,rich,1330.0,12.0,car
26.0,male,1,own,moderate,,4272.0,30.0,business
25.0,female,2,own,little,,2238.0,18.0,radio/TV
21.0,female,2,rent,,,1126.0,18.0,radio/TV
40.0,male,3,own,little,moderate,7374.0,18.0,furniture/equipment
27.0,male,2,own,quite rich,moderate,2326.0,15.0,business
27.0,female,2,own,little,,1449.0,9.0,business
30.0,male,3,own,little,,1820.0,18.0,car
19.0,female,1,rent,rich,moderate,983.0,12.0,furniture/equipment
39.0,male,3,free,little,little,3249.0,36.0,car
31.0,female,2,own,little,little,1957.0,6.0,radio/TV
31.0,male,3,own,little,,2406.0,9.0,furniture/equipment
32.0,male,2,rent,moderate,moderate,11760.0,39.0,education
55.0,female,3,free,little,little,2578.0,12.0,furniture/equipment
46.0,male,2,own,little,little,2348.0,36.0,furniture/equipment
46.0,male,2,rent,little,moderate,1223.0,12.0,car
43.0,female,1,own,rich,,1516.0,24.0,radio/TV
39.0,male,2,own,little,,1473.0,18.0,radio/TV
28.0,male,2,own,,moderate,1887.0,18.0,business
27.0,male,2,own,little,,8648.0,24.0,business
27.0,male,1,own,little,,802.0,14.0,car
43.0,male,2,own,,moderate,2899.0,18.0,car
22.0,male,2,own,little,moderate,2039.0,24.0,radio/TV
43.0,male,2,own,,,2197.0,24.0,car
27.0,male,2,own,little,little,1053.0,15.0,radio/TV
26.0,male,3,own,quite rich,,3235.0,24.0,radio/TV
28.0,male,2,own,quite rich,rich,939.0,12.0,car
20.0,female,2,own,little,moderate,1967.0,24.0,radio/TV
35.0,male,3,own,little,,7253.0,33.0,car
42.0,male,3,own,little,,2292.0,12.0,business
40.0,male,1,rent,quite rich,,1597.0,10.0,car
35.0,female,2,own,,little,1381.0,24.0,car
35.0,male,2,own,little,,5842.0,36.0,car
33.0,male,1,own,little,little,2579.0,12.0,car
23.0,female,2,rent,,little,8471.0,18.0,education
31.0,female,3,own,quite rich,,2782.0,21.0,car
33.0,female,2,own,,moderate,1042.0,18.0,car
20.0,female,2,rent,rich,,3186.0,15.0,car
30.0,male,2,own,,moderate,2028.0,12.0,car
47.0,male,1,own,little,moderate,958.0,12.0,car
34.0,male,3,own,moderate,,1591.0,21.0,furniture/equipment
25.0,female,2,own,,moderate,2762.0,12.0,furniture/equipment
21.0,male,2,rent,little,moderate,2779.0,18.0,car
29.0,male,2,own,little,,2743.0,28.0,radio/TV
46.0,male,2,own,rich,,1149.0,18.0,radio/TV
20.0,male,2,own,little,,1313.0,9.0,furniture/equipment
55.0,female,0,free,little,little,1190.0,18.0,repairs
74.0,male,1,own,little,,3448.0,5.0,business
29.0,male,3,own,little,moderate,11328.0,24.0,vacation/others
36.0,male,3,free,little,little,1872.0,6.0,furniture/equipment
33.0,male,2,own,little,,2058.0,24.0,repairs
25.0,male,2,own,little,little,2136.0,9.0,furniture/equipment
25.0,male,2,own,,moderate,1484.0,12.0,radio/TV
23.0,male,1,rent,quite rich,,660.0,6.0,repairs
37.0,female,2,own,rich,,1287.0,24.0,car
65.0,male,0,own,little,little,3394.0,42.0,repairs
26.0,female,0,own,little,rich,609.0,12.0,business
39.0,male,3,own,little,,1884.0,12.0,car
30.0,female,2,own,little,little,1620.0,12.0,furniture/equipment
29.0,male,2,own,little,moderate,2629.0,20.0,vacation/others
41.0,male,1,own,little,,719.0,12.0,education
30.0,female,3,own,little,moderate,5096.0,48.0,furniture/equipment
41.0,female,1,rent,,,1244.0,9.0,education
34.0,female,2,own,little,little,1842.0,36.0,car
35.0,male,2,own,little,moderate,2576.0,7.0,radio/TV
55.0,female,3,own,,rich,1424.0,12.0,furniture/equipment
61.0,male,2,own,rich,moderate,1512.0,15.0,repairs
30.0,male,3,own,,,11054.0,36.0,car
29.0,female,2,own,little,,518.0,6.0,radio/TV
34.0,male,2,own,little,,2759.0,12.0,furniture/equipment
35.0,male,3,own,little,,2670.0,24.0,car
31.0,male,2,own,little,little,4817.0,24.0,car
29.0,female,3,own,little,,2679.0,24.0,car
36.0,male,2,rent,little,little,3905.0,11.0,car
35.0,male,2,free,little,little,3386.0,12.0,car
27.0,female,2,own,little,little,343.0,6.0,domestic appliances
32.0,male,2,own,little,,4594.0,18.0,radio/TV
37.0,male,2,own,little,little,3620.0,36.0,furniture/equipment
36.0,male,2,own,little,little,1721.0,15.0,car
34.0,female,3,rent,little,moderate,3017.0,12.0,furniture/equipment
38.0,male,2,own,,moderate,754.0,12.0,education
34.0,male,2,own,little,,1950.0,18.0,business
63.0,male,2,own,little,little,2924.0,24.0,car
29.0,female,1,rent,little,little,1659.0,24.0,radio/TV
32.0,male,2,own,,,7238.0,48.0,radio/TV
26.0,female,2,own,little,,2764.0,33.0,business
35.0,male,1,own,little,,4679.0,24.0,car
22.0,male,2,rent,moderate,moderate,3092.0,24.0,radio/TV
23.0,female,2,own,little,little,448.0,6.0,education
28.0,male,1,own,little,little,654.0,9.0,car
36.0,male,3,own,,,1238.0,6.0,education
33.0,male,2,own,little,moderate,1245.0,18.0,radio/TV
26.0,female,2,rent,little,little,3114.0,18.0,furniture/equipment
24.0,male,2,own,quite rich,,2569.0,39.0,car
25.0,male,2,own,little,rich,5152.0,24.0,radio/TV
39.0,male,1,own,moderate,moderate,1037.0,12.0,business
44.0,male,2,own,little,little,1478.0,15.0,furniture/equipment
23.0,female,1,own,little,moderate,3573.0,12.0,radio/TV
26.0,male,2,own,little,moderate,1201.0,24.0,car
57.0,female,2,rent,rich,little,3622.0,30.0,furniture/equipment
30.0,female,2,own,rich,,960.0,15.0,furniture/equipment
44.0,male,2,own,quite rich,,1163.0,12.0,car
47.0,male,3,own,little,moderate,1209.0,6.0,car
52.0,male,2,own,little,,3077.0,12.0,radio/TV
62.0,female,2,free,little,,3757.0,24.0,car
35.0,male,1,rent,moderate,,1418.0,10.0,car
26.0,male,2,rent,little,,3518.0,6.0,car
26.0,male,2,own,little,,1934.0,12.0,radio/TV
42.0,female,3,free,little,moderate,8318.0,27.0,business
27.0,female,2,own,moderate,,1237.0,6.0,radio/TV
38.0,male,2,own,,moderate,368.0,6.0,radio/TV
39.0,male,1,rent,little,little,2122.0,12.0,car
20.0,male,2,own,,little,2996.0,24.0,furniture/equipment
29.0,male,3,rent,moderate,moderate,9034.0,36.0,furniture/equipment
