school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,-4.3604009292153025e-16,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,3,0,12.3525,12,13
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2.9308333333333336,1,1,3,0,13.356666666666666,14,15
GP,F,16.91166666666667,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,3.805,2.9,4,1,2,2,6,17,17,17
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,3,2,3,1,2,2,2.63,13,13,14
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2.11,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,2.54,13,14,14
GP,M,17,U,GT3,T,3,2.45,services,services,course,mother,1,1,3,no,yes,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,2,8,8,7
GP,M,16,U,LE3,T,4,3,health,other,home,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4.01,1,3,1.4933333333333332,2.706666666666667,5,6,12,12,12
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1.9449999999999996,1,0,12,13,14
GP,M,15,U,GT3,T,4,4,health,services,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,11,12,12
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,0,12,13,14
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0.25,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,2,10,10,10
GP,F,15,R,GT3,T,2,2.8033333333333337,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,11,10
GP,F,16,U,GT3,T,2,2,services,other,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,3.925,2,2,1,3,5,6,10,11,12
GP,M,15,U,GT3,T,2,1.915,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,3.98,2,2,1,1.76,5,3.645333333333333,11,12,12
GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,2,2,4,2,4,3.35,0,11,11,11.49
GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2,12.5525,12,13
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0.05999999999999983,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,4,12,11,12
GP,M,15,U,GT3,T,4,3.29,teacher,services,home,mother,1,2,0,no,yes,no,no,no,yes,yes,no,5,4,2,3,4,5,0,10,10.856666666666666,11
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,2,15,15,15
GP,M,15,R,GT3,T,4,3,teacher,at_home,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4.11,5,2,1,1,5,0,13,14,13.852333333333334
GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,13,12,12
GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,no,no,no,yes,yes,no,5,4,3,1,1,5,4,12,12,12
GP,F,16.125,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1.12,1,5,4,11,11,11
GP,M,15,U,LE3,T,4,3,teacher,other,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,0,14,14,14.418285714285714
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,no,2,4,3.035,1,1,5,4,13,13,13
GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,11,12,12
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0.03999999999999971,yes,yes,no,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,12
GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,0,no,yes,no,no,no,yes,yes,yes,3,3,3,1,1.89,3,16,11,11,10
GP,M,15,U,LE3,T,4,4,teacher,other,home,mother,1,1,0,no,yes,no,no,no,yes,yes,yes,5,3.1166666666666667,3,2,3.313333333333333,5,8,10,11,11
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,0,14,15,15
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,2.0525,1,0,9,10,10
GP,F,16,U,GT3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,11,10.49
GP,F,16.515,U,LE3,A,4,2.736666666666667,other,other,course,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,yes,5,2,2,1,1,5,4,10,11,11.37
GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1.89,4,3,6,13,12,13
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2.7854545454545456,1,1,2,2,17,17,16.593333333333334
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,4,3,3,1.1466666666666665,1.8358333333333334,5,4,11,12,13
GP,F,16.30666666666667,U,GT3,T,4,4,services,teacher,reputation,father,1,2,0,yes,yes,no,yes,no,yes,yes,no,4,4,4,1.26,1,3,2,13,12,12
GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1.36,3,3.41,0,12.42,13,13
GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1.12,1,5,2.21,16,14,14.906666666666665
GP,M,15,U,LE3,A,2.48,2,health,health,course,father,2,1,0,no,no,no,no,yes,yes,yes,no,5,5,5,3,4,5,4,10,9.956666666666667,9
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,no,no,yes,yes,yes,no,3.838333333333334,3,4,2,3,4.14,0,12.063333333333334,12,12
GP,F,16.38,U,LE3,T,3,3,other,other,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,5,3,4,4,4,1,0,13,12.895,13
GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,2,12,13,12
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4.14,3,2,1,1,3.39,3.206666666666666,14.022,14,15
GP,M,15,U,GT3,T,3.65,3.2560000000000002,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,8,15,15,14.945
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,3.9933333333333336,3,2,1,1,5,0,14,13,14
GP,F,16,U,GT3,T,4,2,services,other,course,mother,1.18,2.2363333333333335,0,no,yes,yes,no,yes,yes,yes,no,4.180588235294118,2,3,1,1,5,2,16,15,16
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3.93,4,4,2,3,3.6075,0,17,15.395,15.405
GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1.801111111111111,0,no,yes,no,yes,yes,yes,yes,yes,5,3.59,5,5,5,5,5.843333333333333,11.593333333333332,10,16
GP,F,16,U,LE3,T,1,2,other,other,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,0,13,13,10
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1.13,2,0,yes,yes,no,yes,yes,yes,yes,no,3,3.08,4,2,4,4,0,14,13,12.925
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,13,12.345,12
GP,F,16,U,LE3,T,3.146666666666667,3,other,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,16
GP,M,16.91,U,LE3,A,4,4,teacher,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,0,11,11.386666666666665,12
GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,4,3,3,1,2,5,0,10,9,10
GP,F,15,R,LE3,T,2,1.685,services,services,reputation,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,4,1,3,1.61,3,4,0,10.866666666666665,10.6125,11
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0.009999999999999733,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,6,13.795,15,15
GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,yes,yes,yes,no,3.836666666666667,3,2,1,1,5,2,13,11,11
GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3.9683333333333337,3,3,1,1,3,0,11,9,10
GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,0.1099999999999998,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,13,11,11
GP,M,16,U,GT3,T,3,2.4883333333333333,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,0,13,13,14
GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,3,1.545,4,5,4,10.85,11,11
GP,M,15,U,GT3,T,3.77,3,teacher,services,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,3,3.76,0,11,11,11
GP,M,15,U,GT3,T,4,0,teacher,other,reputation,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,3.92,12,11,11
GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,no,no,yes,yes,yes,yes,5,2,3,1,3,3,1,13,13,13
GP,M,17,U,GT3,T,2,1,other,other,course,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,3.2833333333333337,1,1,3,0,9,9,10
GP,F,16.59,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,14,12,11,11
GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,no,yes,no,yes,yes,yes,3,2,2,1,3,3,0,11,11,11.166666666666664
GP,M,16.61,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,no,no,no,yes,yes,no,5,3,2.88,1,2.2183333333333333,5,2,9.632,9,9
GP,F,15,U,LE3,T,3,2,services,other,home,mother,1,2,0.029999999999999652,no,yes,no,no,yes,yes,yes,no,4,4,4,1,1,5,4,12,11,11
GP,M,15,U,GT3,T,2,2,services,services,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,2,13,12,13
GP,F,15,U,GT3,T,1,1,other,other,course,father,1,2,0,yes,yes,no,yes,no,yes,yes,no,4,3,2,2,3,3.08,2,13,12.353333333333335,12
GP,F,15,U,GT3,T,4,4,teacher,services,course,mother,2,2,0,no,no,no,no,yes,yes,yes,yes,4,4,4,2,3,5,4,12,11,12
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,4,1,2,2,6,13,11.81,11
GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,2.895,3,1,3,1,3.37,15,15,15.04
GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,0,no,no,no,yes,no,yes,yes,no,3.99,4,2,1,1,3,6,12,10,11
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,1,3,3,5,5,6,9,10.536666666666667,10
GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,3,4,2,9,11,10.99
GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4,3.285,5,1,3,1,6,14,13,13
GP,F,16,U,LE3,T,3,1,other,other,home,mother,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,2.59,2,0,12,13,12
GP,F,15.93,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,1,2.353333333333333,13,14,14
GP,M,15,U,GT3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3.5275,4,1,2.4,4,2,11,12,12
GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,2.1,0,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,4,13,13,13
GP,M,16.2725,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,6,9,11,11
GP,F,16,U,GT3,T,2,2.0366666666666666,other,other,course,mother,1,2,-3.8941072588727364e-16,no,yes,no,no,yes,yes,no,no,4,3,5,1,1.666666666666667,5,0,13,12.4,12
GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,1.92,1,4,12,13,13
GP,F,16,U,GT3,T,4,3,other,at_home,reputation,mother,1,3,0,yes,yes,no,no,yes,yes,yes,no,5,3,5,1,1,3,2.6766666666666663,12,13,13
GP,M,16.98,U,GT3,T,4,2.73,services,services,course,mother,1,1,0,yes,yes,no,yes,yes,yes,yes,no,4,5,5,5,5,4,12,9.085,9,8
GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1.24,1,4,0,16,16,16
GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,no,yes,yes,yes,no,yes,yes,no,5,3,3,1,1,5,2,12,13,12.833333333333336
GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,4,3.18,5,1,2.2658333333333336,2,16,11,10,10
GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3.555,4,1,1,1,0,16,16,16
GP,F,15,U,GT3,A,2.65,3,other,health,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,2.64,1,1,4,10,10,10,10
GP,F,15,U,GT3,T,2.487,2,other,other,home,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,5,1,2.932,1,1,3,4,10,10,10
GP,M,15.96,U,GT3,T,3.4125,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,13,14,14
GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,no,yes,no,yes,yes,yes,yes,yes,1,3,5,3,5,1,8,12,10,11
GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,5,4,5,1,1,4,2,15,13.84,14
GP,M,15,U,LE3,A,3.82,4,teacher,teacher,reputation,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1.21,1,4,4,13,13.708333333333336,14
GP,F,16.06,R,GT3,T,3,3,services,services,reputation,father,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,4,11,11,11
GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,yes,no,no,no,yes,yes,yes,no,3,1,2,1,1,5,12,8,10,10
GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3.94,5,2,1,1,3,10,18,17,18
GP,M,15,R,GT3,T,2,2.105,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,4,10,9,10
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3.645,4,1,1.93,5,6,16,14,14
GP,M,16.506666666666668,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,no,4,4,2.99,1,1,2,4,16,15,16
GP,M,16,U,GT3,T,3,3,other,services,reputation,father,2,1,0,no,no,no,yes,yes,yes,yes,no,3.993333333333333,4,2,1,1,5,6,14,14,15
GP,M,17,R,GT3,T,1,3,other,other,course,father,1.875,2,1,no,no,no,yes,yes,yes,yes,no,5,3.72,4,1,4,5,14,12,11,11
GP,M,15,U,GT3,T,3.15,4,other,other,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,3.98,14,13,14
GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,3,2,3,1.198,2,1,0,12.92,13.17,14
GP,M,15,U,GT3,T,2,2,services,services,home,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,5,5,4,1,2,5,6,14,13,13.539375
GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,no,yes,no,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,14,12,13
GP,M,16,U,GT3,T,4,4,teacher,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4.441666666666666,4,4,1,2.163333333333333,5,3.242,12,13,13
GP,F,16,U,GT3,T,2.0733333333333333,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,5,4,4,1,1,5,0,12,11,11.5
GP,M,15,U,GT3,T,3.168095238095238,4,services,services,course,father,1,1,0,yes,no,no,no,yes,yes,yes,no,5,3.925,5,3,2,5,2,9.55,9.836666666666668,9
GP,F,16.815,U,LE3,A,3,4,other,other,course,mother,1.2925,2.006,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,0,10,11,11
GP,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2,2,no,yes,no,no,no,no,no,no,3,4,2,1,1,5,0,9,9.695,11
GP,M,16,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3.9,5,5,2,5,4,8,14,13.14,13.225
GP,M,16,U,GT3,T,2,3,other,other,course,mother,2,3,0,no,yes,no,yes,no,yes,yes,yes,3,2,3,2,2.4025,1,4,13,12,13
GP,F,15,R,GT3,T,3,3.04,services,teacher,course,father,2,3,0,no,yes,no,no,yes,yes,yes,yes,4,2,2,2,2,3.775,0,10,11,10.841666666666667
GP,F,18,U,GT3,T,2,1,other,other,reputation,mother,1,2,3,no,yes,no,yes,yes,no,yes,yes,5,4,5,1.82,3,5,10,10,9,8
GP,F,17,U,LE3,A,2,1,other,other,course,mother,3,1,0,no,yes,no,no,yes,yes,yes,no,3.92,2,2,1,2,5,8,11,10,10.94
GP,F,15,U,GT3,T,1,1,at_home,other,course,mother,3,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,2,4,6,11,12,13
GP,F,17,U,LE3,T,2,2,other,other,course,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,4,4,1,3,5,2,13,12,12
GP,F,16,U,GT3,A,3,4,services,other,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,1,1,4,5,3.8566666666666665,15,13,14
GP,M,16,U,GT3,T,1.58,1,at_home,other,course,mother,4,1,0,no,no,no,no,yes,yes,no,no,3,2,1,1,1,2,4,9,9,11
GP,F,16,U,LE3,A,2,2.036666666666667,other,other,home,mother,1,1,0.10999999999999975,no,no,no,no,yes,yes,no,no,5,3.273333333333334,4,1,1,5,12,10.69,11,11
GP,M,15,U,GT3,T,3,4,at_home,teacher,course,mother,4,2,0,no,yes,no,no,yes,yes,no,yes,4.14,3,3,1,1,5,2,12,11,11
GP,F,15,U,GT3,T,4,4,services,teacher,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,1,5,2.0166666666666666,13,14.16,15
MS,M,17,R,GT3,T,3,4,at_home,other,course,mother,3,2,0,no,no,no,yes,yes,yes,no,no,5,3.9,5,2,4,5,2,10,9,10
GP,F,16,R,GT3,T,1,1,at_home,other,course,mother,4,2.1825,0,no,yes,no,no,yes,yes,no,no,5,1,3,1,1,2.685,0,14,13,13
GP,M,18,U,LE3,T,3,1,services,services,course,mother,1.49,1,0,no,no,no,yes,yes,yes,yes,yes,3,3,4,4,5,4,2,11,11.048,12
GP,F,18,U,LE3,A,3,2,other,services,course,other,1,2.01,0,no,yes,no,yes,yes,yes,yes,no,4,3,3.2033333333333336,5,1,5,10,12,11,11
GP,F,16,R,GT3,T,1,1,at_home,services,reputation,mother,2,1,0,no,yes,no,yes,yes,yes,no,yes,3,3,3,1,2,1,8,12,11,11
GP,F,16,U,GT3,A,3,3,other,other,course,other,2,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,2,1,1,5,4,9,9,10
GP,M,16,U,LE3,T,1,1,services,other,course,mother,1,2,2,no,no,no,no,yes,yes,no,yes,4,4,4,1,3,5,0,10,10,10
GP,F,15,U,GT3,T,4,3.54,teacher,teacher,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,5,6,13,14,14
GP,F,15,R,GT3,T,1,1,other,other,course,mother,3,1.49,1,no,no,no,yes,yes,yes,yes,yes,5,5,5,1,1,1,2,8,9,9
GP,M,15,U,GT3,T,4,3,teacher,services,course,father,2,4,0,no,yes,no,no,yes,yes,yes,no,2,2,2,1,1.9416666666666667,3,6,9,11,11
GP,F,15,U,GT3,A,3,3,services,services,home,mother,1,2,0.63,no,no,no,no,no,yes,no,yes,1,3,2,2,3,1,24,9,9.125000000000002,9
GP,M,16,U,GT3,T,4,4,services,services,course,mother,1,1.9075,0,no,yes,no,yes,yes,yes,yes,no,4.309166666666667,3,3,1,3,5,0,15,13,13
GP,M,16,U,LE3,T,2,2,services,services,reputation,father,2,1,0,no,no,no,yes,yes,yes,yes,no,2,3,3,2,2,2,5.495,12,10.83,11
GP,F,16.053333333333335,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,2,2,1,1,5,2,13,13,13
GP,F,16,U,LE3,T,1,1,at_home,at_home,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,4,3,3,1,4,10,11,11
GP,M,17,U,GT3,T,2,1,other,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,yes,5,4,5,1,2,5,3.7816666666666667,9,7,6
GP,F,15,U,GT3,T,1,1,other,services,course,father,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,2,1,2,5,0,12,12,12
GP,F,15,U,LE3,A,2,1,at_home,other,home,mother,2,1,0,no,yes,no,yes,yes,no,yes,yes,4,4,2,1,1,5,0,11,10,10
GP,F,15,U,GT3,T,3,2,health,services,home,father,1,2,1,no,yes,no,no,yes,yes,yes,no,3.81,3,2,1,1.81,3.825,2,11,11,10.816666666666665
GP,F,15,U,GT3,T,1,2,at_home,other,home,mother,1,2,0,no,yes,no,no,no,yes,yes,no,4,2.9716666666666667,2,1,1,5,6,11.828333333333333,12,13
GP,F,15,U,GT3,T,1,2,at_home,services,course,father,1,2,0,no,no,no,no,no,yes,no,yes,3.63,3.1166666666666663,4,2,4,1,3.65,11,11,11
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,mother,1,1,0,no,yes,no,no,yes,no,yes,no,3,3,2,2,1,3.93,16,9,9.891666666666666,10.17
GP,M,15,U,LE3,T,2.355,1,services,other,course,mother,4,1,0,no,no,no,no,yes,yes,yes,no,3.98,5,5,2,5,5,4.423333333333333,12,10.438333333333333,11
GP,M,18,U,LE3,T,1,1,other,other,course,mother,1,1,2,no,no,no,no,yes,no,yes,yes,2,3,5,2,5,4,0,11,9,0
GP,M,16,U,LE3,T,1.46,1,at_home,other,course,mother,1,1,1,no,no,no,yes,yes,yes,no,yes,4,4,4,3,5,5,6,9,9.47,10
GP,F,15,R,GT3,T,3,3,services,services,reputation,other,2,3,0,no,yes,yes,yes,yes,yes,yes,yes,3.79,2,2.79,2,3,3,2,12.703333333333335,13,13
GP,M,19,U,GT3,T,2.14,2,other,at_home,home,mother,1,1,0,no,yes,no,no,yes,no,yes,no,4,5,4,1,1,3.81,6,11,9,11
GP,F,17,U,GT3,T,4,4,other,teacher,course,mother,1.6425,1,0,yes,yes,no,no,yes,yes,no,yes,4,2,1,1,1,4,0,13,13,13
